Bubble sort, 2000, 3998000, 0.008554
Bubble sort, 4000, 15996000, 0.025445
Bubble sort, 6000, 35994000, 0.041113
Bubble sort, 8000, 63992000, 0.064305
Bubble sort, 10000, 99990000, 0.078218
Bubble sort, 12000, 143988000, 0.116810
Bubble sort, 14000, 195986000, 0.173703
Bubble sort, 16000, 255984000, 0.238803
Bubble sort, 18000, 323982000, 0.342120
Bubble sort, 20000, 399980000, 0.440002
Bubble sort, 22000, 483978000, 0.537874
Bubble sort, 24000, 575976000, 0.665153
Bubble sort, 26000, 675974000, 0.800572
Bubble sort, 28000, 783972000, 0.939740
Bubble sort, 30000, 899970000, 1.056022
Bubble sort, 32000, 1023968000, 1.246295
Bubble sort, 34000, 1155966000, 1.410302
Bubble sort, 36000, 1295964000, 1.569724
Bubble sort, 38000, 1443962000, 1.800500
Bubble sort, 40000, 1599960000, 2.012398
Bubble sort, 42000, 1763958000, 2.209061
Bubble sort, 44000, 1935956000, 2.462872
Bubble sort, 46000, 2115954000, 2.685343
Bubble sort, 48000, 2303952000, 2.948021
Bubble sort, 50000, 2499950000, 3.232205
Insertion sort, 2000, 1004605, 0.000594
Insertion sort, 4000, 4023754, 0.002419
Insertion sort, 6000, 8976581, 0.004534
Insertion sort, 8000, 15685758, 0.008677
Insertion sort, 10000, 24940811, 0.012814
Insertion sort, 12000, 36182129, 0.017830
Insertion sort, 14000, 49337495, 0.022988
Insertion sort, 16000, 63285891, 0.040348
Insertion sort, 18000, 81145385, 0.039577
Insertion sort, 20000, 99930389, 0.052263
Insertion sort, 22000, 121425919, 0.060819
Insertion sort, 24000, 143430533, 0.074259
Insertion sort, 26000, 169346187, 0.086801
Insertion sort, 28000, 195836616, 0.098321
Insertion sort, 30000, 226456763, 0.116471
Insertion sort, 32000, 255634953, 0.129843
Insertion sort, 34000, 289687662, 0.147302
Insertion sort, 36000, 325202567, 0.163870
Insertion sort, 38000, 362704497, 0.194065
Insertion sort, 40000, 399411025, 0.201051
Insertion sort, 42000, 440696860, 0.221075
Insertion sort, 44000, 483627725, 0.240306
Insertion sort, 46000, 527798125, 0.278882
Insertion sort, 48000, 574788348, 0.293408
Insertion sort, 50000, 625115172, 0.311366
Selection sort, 2000, 1999000, 0.001271
Selection sort, 4000, 7998000, 0.003754
Selection sort, 6000, 17997000, 0.008347
Selection sort, 8000, 31996000, 0.015049
Selection sort, 10000, 49995000, 0.021764
Selection sort, 12000, 71994000, 0.030592
Selection sort, 14000, 97993000, 0.041405
Selection sort, 16000, 127992000, 0.057074
Selection sort, 18000, 161991000, 0.073118
Selection sort, 20000, 199990000, 0.119488
Selection sort, 22000, 241989000, 0.109811
Selection sort, 24000, 287988000, 0.134155
Selection sort, 26000, 337987000, 0.154941
Selection sort, 28000, 391986000, 0.176038
Selection sort, 30000, 449985000, 0.197088
Selection sort, 32000, 511984000, 0.239748
Selection sort, 34000, 577983000, 0.260114
Selection sort, 36000, 647982000, 0.295331
Selection sort, 38000, 721981000, 0.322073
Selection sort, 40000, 799980000, 0.364885
Selection sort, 42000, 881979000, 0.393150
Selection sort, 44000, 967978000, 0.438015
Selection sort, 46000, 1057977000, 0.475896
Selection sort, 48000, 1151976000, 0.519218
Selection sort, 50000, 1249975000, 0.554263
Merge sort, 2000, 19398, 0.000138
Merge sort, 4000, 42740, 0.000280
Merge sort, 6000, 67895, 0.000619
Merge sort, 8000, 93675, 0.000789
Merge sort, 10000, 120435, 0.001065
Merge sort, 12000, 147734, 0.001277
Merge sort, 14000, 175365, 0.001408
Merge sort, 16000, 203259, 0.001777
Merge sort, 18000, 231969, 0.001783
Merge sort, 20000, 260866, 0.001907
Merge sort, 22000, 290152, 0.002044
Merge sort, 24000, 319381, 0.002414
Merge sort, 26000, 349008, 0.002460
Merge sort, 28000, 378724, 0.002940
Merge sort, 30000, 408598, 0.002839
Merge sort, 32000, 438673, 0.003008
Merge sort, 34000, 469064, 0.003427
Merge sort, 36000, 499937, 0.003378
Merge sort, 38000, 530813, 0.003872
Merge sort, 40000, 561925, 0.003756
Merge sort, 42000, 592983, 0.003759
Merge sort, 44000, 624047, 0.004829
Merge sort, 46000, 655338, 0.003957
Merge sort, 48000, 686583, 0.004820
Merge sort, 50000, 718327, 0.005832
Quick sort, 2000, 25356, 0.000089
Quick sort, 4000, 52295, 0.000220
